Reference	Value	Qty	Digikey-PN
BZ401	Buzzer	1	3949-OWMB-323220SA-40-12CT-ND
C101,C202,C203,C205,C206,C207,C209,C301,C302,C303,C304,C305,C401,C402,C501,C502,C503,C514,C515	.1u	19	311-1088-1-ND
C201,C204	4.7u	2	1276-1044-1-ND
C208	1u	1	1276-1946-1-ND
C504,C512	100p	2	1276-1008-1-ND
C505	470n	1	1276-1063-1-ND
C506	22n	1	1276-6534-1-ND
C507,C510	3.3p	2	1276-6549-1-ND
C508	4.7p	1	1276-1792-1-ND
C509	1p	1	399-C0603C109D4HACTUCT-ND
C511	18p	1	1276-1089-1-ND
C513	15p	1	1276-CL10C150JC81PNCCT-ND
C516	33p	1	1276-1070-1-ND
C518	TBD	1	
D101,D403	LED	2	3147-B1931UD--05D000314U1930CT-ND
D401,D405	D	2	BAT750CT-ND
D402,D404	WS2812B-2020	2	4544-FZ2812-0807CT-ND
J402	USB_C_Receptacle_USB2.0_16P	1	2073-USB4105-GF-ACT-ND
J404	Screw_Terminal_01x06	1	ED10565-ND
J405	Screw_Terminal_01x04	1	ED10563-ND
J408	Conn_01x04	1	455-SM04B-SRSS-TBCT-ND
J501	Conn_Coaxial	1	CON-SMA-EDGE-S-ND
L501	15u	1	445-MLZ1608N150LT000CT-ND
L502	68n	1	732-7447860168CT-ND
L503	33n	1	478-LCCI0603J33NGTARCT-ND
L504	3.9n	1	732-7447860039CT-ND
L505	15n	1	732-7447860115CT-ND
L506,L507	0R	2	311-0.0LDCT-ND
Q101	FDN306P	1	5399-FDN306PCT-ND
Q401,Q601,Q602,Q603	SL2302S	4	5399-SL2302SCT-ND
R101,R102,R403,R614	1k	4	RMCF0603FT1K00CT-ND
R201,R203,R205,R406,R602,R604,R606,R613	10k	8	RMCF0603JT10K0CT-ND
R202,R204,R401,R402,R607,R609,R611	5.1k	7	311-5.10KHRCT-ND
R404,R405,R501,R601,R603,R605	500	6	13-RT0603BRD07500RLCT-ND
R608,R610,R612	3k	3	RMCF0603FT3K00CT-ND
SW401,SW402	SW_Push	2	4809-SKTAAAE010CT-ND
U101	LM1117MP-3.3	1	LM1117MP-3.3/NOPBCT-ND
U201	STM32F446RETx	1	497-STM32F446RET6TRCT-ND
U202	W25Q128JVS	1	256-W25Q128JVSIQTRCT-ND
U301	SAM-M8Q	1	672-1054-1-ND
U302	LSM6DSV320	1	497-LSM6DSV320XTRCT-ND
U303	MMC5633NJL	1	1267-MMC5633NJLCT-ND
U304	MS5607-02BA	1	223-1198-1-ND
U501	SX1262IMLTRT	1	SX1262IMLTRTCT-ND
U502	SKY13453-385LF	1	863-1602-1-ND
Y201	Resonator	1	490-CSTNE8M00G52Z000R0CT-ND
Y501	32 MHz	1	644-CS06654-32MCT-ND
